DEV_KEY,en,EN-UK,DE,PL,PT(BR),ES(MX),ES-ES,ID,SE,RU,FR,IT
subscription_alert_subscription_fail_other_body,Something went wrong. Try again later.,Something went wrong. Try again later.,Etwas ist schiefgegangen. Versuchen Sie es später erneut.,Coś poszło nie tak. Spróbuj ponownie później.,Algo deu errado. Tente novamente mais tarde.,Algo ha fallado. Inténtelo de nuevo más tarde.,Algo ha salido mal. Vuelve a intentarlo más tarde.,Terjadi masalah. Coba lagi nanti.,Något gick fel. Försök igen senare.,Что-то пошло не так. Повторите попытку позже.,Une erreur s'est produite. Réessayez plus tard.,
subscription_alert_subscription_fail_action_title,Ok,Ok,OK,Ok,Ok,OK,OK,Oke,Ok,OK,D'accord,
subscription_proposition_title,Full Access. Ad-free,Full Access. Ad-free,Voller Zugriff. Werbefrei ,Pełny dostęp. Bez reklam,Acesso total. Sem anúncios,Acceso total. Sin publicidad,Acceso completo. Libre de anuncios,Akses Penuh. Tanpa Iklan,Fullständig åtkomst. Annonsfritt,,,
subscription_proposition_description,Upgrade to premium for unlimited access to all pro features. No ads!,Upgrade to premium for unlimited access to all pro features. No ads!,Upgraden Sie auf Premium für unbegrenzten Zugriff auf alle Pro-Funktionen. Keine Werbung!,"Uaktualnij do wersji premium, żeby uzyskać nieograniczony dostęp do wszystkich funkcji pro. Zero reklam!",Faça o upgrade para o premium para ter acesso ilimitado a todos as funcionalidades Pro. Sem anúncios!,Actualice al modo Premium para tener acceso ilimitado a todas las funciones profesionales ¡Sin publicidad!,Mejora a prémium para obtener acceso ilimitado a todas las funciones pro. ¡Sin anuncios!,Tingkatkan ke premium untuk akses tanpa batas ke semua fitur pro. Tanpa iklan!,Uppgradera till premium för obegränsad tillgång till alla pro-funktioner. Inga annonser!,,,
subscription_proposition_pricing_details_trial_duration,"%@-day free trial, ","%@-day free trial, ","%@-tägige kostenlose Testversion, ","%@-dniowy okres próbny, ","Teste gratuito de %@-dia, ","%@ prueba gratis, ","Prueba gratuita de %@ días, ","Uji coba gratis %@hari,","%@-dagars gratis provperiod,",,,
subscription_proposition_pricing_details_trial_monthly_price,then %@/month. ,then %@/month. ,danach %@/Monat. ,a potem %@/miesiąc. ,depois %@/mês. ,luego %@/mes. ,"después, %@/mes. ",lalu %@/bulan.,sedan %@/månad.,,,
subscription_proposition_pricing_details_cancel,Cancel anytime.,Cancel anytime.,Jederzeit kündbar.,Możesz anulować w dowolnym czasie.,Cancele a qualquer momento.,Puede cancelarlo en cualquier momento.,Cancela en cualquier momento.,Batalkan kapan saja.,Avbryt när du vill.,,,
subscription_proposition_pricing_details_monthly_price,Join for only %@/month. ,Join for only %@/month. ,Treten Sie für nur %@/Monat bei. ,Dołącz za jedyne %@/miesiąc. ,Assine por apenas %@/mês. ,Únase por tan solo %@/mes. ,Únete por solo %@/mes. ,Bergabung dengan hanya %@/bulan.,Gå med för endast %@/månad.,,,
subscription_primary_button_trial,Continue to trial,Continue to trial,Weiter zur Testversion,Kontynuuj okres próbny,Continuar para avaliação,Seguir probando,Continuar a la prueba,Lanjut ke uji coba,Fortsätt till provperiod,,,
 subscription_primary_button,Join,Join,Beitreten,Dołącz,Assinar,Únase a,Unirse,Bergabung,Gå med,,,
subscription_secondary_button_annual_price,Annually %@,Annually %@,Jährlich %@,Rocznie %@,%@ por ano,Anual %@,%@ al año,Tahunan %@,Årligen %@,,,
subscription_terms,Terms,Terms,AGB,Warunki świadczenia usług,Termos,Términos,Términos,Syarat,Villkor,,,
subscription_privacy,Privacy,Privacy,Datenschutz,Polityka prywatności,Privacidade,Privacidad,Privacidad,Privasi,Integritet,,,
subscription_restore,Restore,Restore,Wiederherstellen,Przywróć,Restaurar,Restaurar,Restablecer,Pulihkan,Återställ,,,
subscription_alert_something_is_wrong_message,Something went wrong. Try again later.,Something went wrong. Try again later.,Etwas ist schiefgegangen. Versuchen Sie es später erneut.,Coś poszło nie tak. Spróbuj ponownie później.,Algo deu errado. Tente novamente mais tarde.,Algo ha fallado. Inténtelo de nuevo más tarde.,Algo ha salido mal. Vuelve a intentarlo más tarde.,Terjadi masalah. Coba lagi nanti.,Något gick fel. Försök igen senare.,Что-то пошло не так. Повторите попытку позже.,,
subscription_alert_something_is_wrong_action,Ok,Ok,OK,Ok,Ok,OK,OK,Oke,Ok,OK,D'accord,
,Light rain at %@,Light rain at %@,Leichter Regen um %@,Lekki deszcz o %@,Chuva leve às %@,Lluvia leve a las %@,Lluvia ligera a las %@,Hujan ringan pada %@,Lätt regn %@,Слабый дождь в %@,Pluie légère à %@,
subscription_proposition_title,Full Access,Full Access,Voller Zugriff,Pełny dostęp,Acesso total,Acceso total,Acceso completo,Akses Penuh,Fullständig åtkomst,,,
subscription_sub_title_primary,Upgrade to premium for unlimited access to all pro features.,Upgrade to premium for unlimited access to all pro features.,Upgraden Sie auf Premium für unbegrenzten Zugriff auf alle Pro-Funktionen.,"Uaktualnij do wersji premium, żeby uzyskać nieograniczony dostęp do wszystkich funkcji pro.",Faça o upgrade para o premium para ter acesso ilimitado a todos as funcionalidades Pro.,Actualice al modo Premium para tener acceso ilimitado a todas las funciones profesionales.,Mejora a prémium para obtener acceso ilimitado a todas las funciones pro.,Tingkatkan ke premium untuk akses tanpa batas ke semua fitur pro.,Uppgradera till premium för obegränsad tillgång till alla pro-funktioner.,,,
,,,,,,,,,,,,
,Min-by-my precip. forecast,Min-by-my precip. forecast,Minutengenaue Regenvorhersage,Opady minuta po minucie,Previsão de chuva por min.,Previsión de precipitaciones,Precip. min a min. pronóstico,Prakiraan presip. menit per menit,Nederbördsprognos minut för minut,,,
,Widgets are here!,Widgets are here!,Widgets sind da!,Przedstawiamy widżety!,Os Widgets chegaram!,¡Ya están aquí los widgets!,Los widgets están aquí.,Widget telah hadir!,Widgetar är här!,,,
,Stay in the loop with weather or rain changes and track them with widgets.,Stay in the loop with weather or rain changes and track them with widgets.,Bleiben Sie über Wetter- oder Regenänderungen auf dem Laufenden und verfolgen Sie diese mit Widgets.,"Bądź na bieżąco ze zmianami pogody i deszczem, korzystając z widżetów.",Fique por dentro das mudanças do tempo ou da chuva e siga-as com widgets.,Mantente al tanto de los cambios meteorológicos o de lluvia y síguelos con los widgets.,Manténgase informado de los cambios meteorológicos o de lluvia y seguirlos con widgets.,Tetap terinfokan tentang perubahan cuaca atau hujan dan lacak dengan widget.,Håll dig uppdaterad om väder- eller regnförändringar och spåra dem med widgetar.,,,
whats_new_tutorial_button,How to add a widget?,How to add a widget?,Wie füge ich ein Widget hinzu?,Jak dodać widżet?,Como adicionar um widget?,¿Cómo añadir un widget?,¿Cómo agregar un widget?,Bagaimana cara menambahkan widget?,Hur lägger jag till en widget?,,,
whats_new_skip_tutorial,Skip tutorial,Skip tutorial,Tutorial überspringen,Pomiń samouczek,Pular tutorial,Omitir tutorial,Saltar tutorial,Lewati panduan,Hoppa över handledningen,,,
widget_tutorial_header,You need to take 4 steps,You need to take 4 steps,Sie müssen 4 Schritte durchführen,Musisz wykonać 4 kroki,Você precisa de 4 passos,Tienes que realizar 4 pasos,Tiene que dar 4 pasos,Anda perlu melakukan 4 langkah,Du måste göra 4 steg,,,
widget_tutorial_first_attributed,Press and hold,Press and hold,Drücken und halten Sie,Naciśnij i przytrzymaj,Pressione e segure,Pulsa prolongadamente,Presionar y mantener,Tekan dan tahan,Tryck och håll,,,
widget_tutorial_first_plain,on the home screen,on the home screen,auf dem Startbildschirm,na ekranie głównym,na tela inicial,en la pantalla de inicio,en la pantalla de inicio,pada layar beranda,på hemskärmen,,,
widget_tutorial_second_plain,Click on the,Tap on the,Klicken Sie auf das,Kliknij,Clique no,Pulsa sobre,Hacer clic,Klik,Klicka på,,,
widget_tutorial_second_attributed,"""+\""","""+\""","""+\""","""+\""","""+\""","""+\""","""+\""","""+\""","""+\""",,,
widget_tutorial_third_plain,"Type \""Rainbow.ai\"" into the search box.","Type \""Rainbow.ai\"" into the search box.",Geben Sie \„Rainbow.ai\“ in das Suchfeld ein.,Wpisz \„Rainbow.ai\” w polu wyszukiwania.,"Digite \""Rainbow.ai\"" na caixa de pesquisa.","Escribe \""Rainbow.ai\"" en el cuadro de búsqueda.","Escribir \""Rainbow.ai\"" en el cuadro de búsqueda.","Tikkan \""Rainbow.ai\"" pada kotak pencarian.","Skriv \""Rainbow.ai\"" i sökrutan.",,,
widget_tutorial_fourth_plain,Select the widget.,Select the widget.,Wählen Sie das Widget aus.,Wybierz widżet.,Selecione o widget.,Selecciona el widget.,Seleccionar el widget.,Pilih widget.,Välj widgeten.,,,
widget_mock_location,New York,London,Berlin,Warszawa,Brasília,Tijuana,Barcelona,Jakarta,Stockholm,,,
small_widget_title,Weather Forecast,Weather Forecast,Wettervorhersage,Prognoza pogody,Previsão do tempo,Previsión meteorológica,Pronóstico del tiempo,Prakiraan Cuaca,Väderprognos,,,
free_small_widget_description,Check the relevant weather information for you location at any time of the day.,Check the relevant weather information for you location at any time of the day.,Prüfen Sie die relevanten Wetterinformationen für Ihren Standort zu jeder Tageszeit.,Sprawdzaj ważne informacje pogodowe dla swojej lokalizacji o każdej porze dnia.,Confira as informações úteis do tempo para o seu local a qualquer hora do dia.,Consulta la información meteorológica correspondiente a tu ubicación en cualquier momento del día.,Consulte la información meteorológica relevante para su ubicación en cualquier momento del día.,Lihat informasi cuaca relevan untuk lokasi Anda kapan saja.,Kolla relevant väderinformation för din plats när som helst på dygnet.,,,
premium_small_widget_description,View the current weather and upcoming precipitation for the next 60 minutes for your location. Premium required.,View the current weather and upcoming precipitation for the next 60 minutes for your location. Premium required.,Betrachten Sie für Ihren Standort das aktuelle Wetter und bevorstehende Niederschläge in den nächsten 60 Minuten. Premium erforderlich.,Zobacz aktualną pogodę i nadchodzące opady na najbliższe 60 minut w swojej lokalizacji. Wymaga Premium.,Veja o tempo atual e precipitação futura para os próximos 60 minutos para o seu local. Necessário Premium.,Consulta el tiempo actual y las precipitaciones previstas para los próximos 60 minutos en tu ubicación. Requiere Prémium.,Ver el clima actual y las próximas precipitaciones para los próximos 60 minutos para su ubicación. Se requiere Premium.,Lihat cuaca saat ini dan presipitasi mendatang untuk 60 menit ke depan untuk lokasi Anda. Khusus Premium.,Visa aktuellt väder och nederbörd för de kommande 60 minuterna för din plats. Premium krävs.,,,
premium_medium_widget_title,Weather Radar,Weather Radar,Wetterradar,Radar pogodowy,Radar do tempo,Radar meteorológico,Radar meteorológico,Radar Cuaca,Väderradar,,,
premium_medium_widget_description,"Stay weather-aware with a weather radar map, temperature, and upcoming precipitation for the next 60 minutes for your location. Premium required.","Stay weather-aware with a weather radar map, temperature, and upcoming precipitation for the next 60 minutes for your location. Premium required.","Bleiben Sie wetterbewusst – mit einer Wetterradarkarte, Temperaturen und bevorstehenden Niederschlägen in den nächsten 60 Minuten für Ihren Standort. Premium erforderlich.","Bądź na bieżąco z pogodą – sprawdzaj mapę radaru pogodowego, temperaturę i nadchodzące opady na najbliższe 60 minut w swojej lokalizacji. Wymaga Premium.","Fique atento ao clima com um mapa de radar do tempo, temperatura e precipitação futura nos próximos 60 minutos para o seu local. Necessário Premium.","Mantente informado del tiempo con un mapa del radar meteorológico, la temperatura y las próximas precipitaciones para los próximos 60 minutos en tu ubicación. Requiere Prémium.","Manténgase al tanto del clima con un mapa de radar meteorológico, la temperatura y las próximas precipitaciones durante los próximos 60 minutos para su ubicación. Se requiere Premium.","Tetap terinfokan tentang cuaca dengan peta radar cuaca, suhu, dan presipitasi mendatang untuk 60 menit ke depan untuk lokasi Anda. Khusus Premium.","Håll dig uppdaterad om vädret med en väderradarkarta, temperatur och nederbörd för de kommande 60 minuterna för din plats. Premium krävs.",,,
settings_section_widget,Widget,Widget,Widget,Widżet,Widget,Widget,Widget,Widget,Widget,,,
settings_home_screen,Home Screen,Home Screen,Startbildschirm,Ekran główny,Tela inicial,Pantalla de inicio,Pantalla de inicio,Layar Beranda,Hemskärm,,,
light_rain_until,Light rain until %@,Light rain until %@,Leichter Regen bis %@,Lekki deszcz do %@,Chuva fraca até as %@,Lluvia ligera hasta las %@,Lluvia ligera hasta el %@,Hujan ringan sampai %@,Lätt regn till %@,,,
moderate_rain_until,Moderate rain until %@,Moderate rain until %@,Mäßiger Regen bis %@,Umiarkowany deszcz do %@,Chuva moderada até as %@,Lluvia moderada hasta las %@,Lluvia moderada hasta el %@,Hujan sedang sampai %@,Måttligt regn till %@,,,
heavy_rain_until,Heavy rain until %@,Heavy rain until %@,Starker Regen bis %@,Ulewny deszcz do %@,Chuva forte até as %@,Lluvia intensa hasta las %@,Fuerte lluvia hasta el %@,Hujan deras sampai %@,Kraftigt regn till %@,,,
extremely_heavy_rain_until,Extremely heavy rain until %@,Extremely heavy rain until %@,Sehr starker Regen bis %@,Bardzo ulewny deszcz do %@,Chuva muito forte até as %@,Lluvia muy intensa hasta las %@,Lluvia muy fuerte hasta el %@,Hujan amat deras sampai %@,Extremt kraftigt regn till %@,,,
light_rain_expected_from,Light rain is expected from %@,Light rain is expected from %@,Leichter Regen wird ab %@ erwartet,Od %@ spodziewany jest lekki deszcz,Chuva fraca é esperada a partir das %@,Se espera lluvia ligera a partir de las %@,Se espera lluvia ligera de %@,Hujan ringan diperkirakan mulai %@,Lätt regn förväntas från %@,,,
moderate_rain_expected_from,Moderate rain is expected from %@,Moderate rain is expected from %@,Mäßiger Regen wird ab %@ erwartet,Od %@ spodziewany jest umiarkowany deszcz,Chuva moderada é esperada a partir das %@,Se espera lluvia moderada a partir de las %@,Se espera lluvia moderada a partir del %@,Hujan sedang diperkirakan mulai %@,Måttligt regn förväntas från %@,,,
heavy_rain_expected_from,Heavy rain is expected from %@,Heavy rain is expected from %@,Starker Regen wird ab %@ erwartet,Od %@ spodziewany jest ulewny deszcz,Chuva forte é esperada a partir das %@,Se espera lluvia intensa a partir de las %@,Se esperan fuertes lluvias de %@,Hujan deras diperkirakan mulai %@,Kraftigt regn förväntas från %@,,,
extremely_heavy_rain_expected_from,Extremely heavy rain starts from %@,Extremely heavy rain starts from %@,Extrem starker Regen beginnt ab %@,Od %@ spodziewany jest wyjątkowo ulewny deszcz,Chuva extremamente forte começa a partir das %@,Lluvia extremadamente intensa a partir de las %@,Lluvia extremadamente fuerte comienza desde %@,Hujan amat deras diperkirakan mulai %@,Extremt kraftigt regn börjar %@,,,
light_rain_expected_from_to,Light rain is expected from %@ to %@,Light rain is expected from %@ to %@,Leichter Regen wird von %@ bis %@ erwartet,Od %@ do %@ spodziewany jest lekki deszcz,Chuva fraca é esperada das %@ às %@,Se espera lluvia ligera de %@ a %@,Se esperan lluvias ligeras del %@ al %@,Hujan ringan diperkirakan mulai %@ sampai %@,Lätt regn förväntas från %@ till %@,,,
moderate_rain_expected_from_to,Moderate rain is expected from %@ to %@,Moderate rain is expected from %@ to %@,Mäßiger Regen wird von %@ bis %@ erwartet,Od %@ do %@ spodziewany jest umiarkowany deszcz,Chuva moderada é esperada das %@ às %@,Se espera lluvia moderada de %@ a %@,Se espera lluvia moderada del %@ al %@,Hujan sedang diperkirakan mulai %@ sampai %@,Måttligt regn förväntas från %@ till %@,,,
heavy_rain_expected_from_to,Heavy rain is expected from %@ to %@,Heavy rain is expected from %@ to %@,Starker Regen wird von %@ bis %@ erwartet,Od %@ do %@ spodziewany jest ulewny deszcz,Chuva forte é esperada das %@ às %@,Se espera lluvia intensa de %@ a %@,Se esperan fuertes lluvias del %@ al %@,Hujan deras diperkirakan mulai %@ sampai %@,Kraftigt regn förväntas från %@ till %@,,,
extremely_heavy_rain_expected_from_to,Extremely heavy rain is expected from %@ to %@,Extremely heavy rain is expected from %@ to %@,Sehr starker Regen wird von %@ bis %@ erwartet,Od %@ do %@ spodziewany jest bardzo ulewny deszcz,Chuva muito forte é esperada das %@ às %@,Se espera lluvia muy intensa de %@ a %@,Se esperan lluvias muy intensas del %@ al %@,Hujan amat deras diperkirakan mulai %@ sampai %@,Extremt kraftigt regn förväntas från %@ till %@,,,
light_rain_more_than_hour,Light rain for more than 1 hour,Light rain for more than 1 hour,Leichter Regen für mehr als 1 Stunde,Lekki deszcz przez ponad 1 godzinę,Chuva fraca por mais de 1 hora,Lluvia ligera durante más de 1 hora,Lluvia ligera durante más de 1 hora,Hujan ringan selama lebih dari 1 jam,Lätt regn i mer än 1 timme,,,
moderate_rain_more_than_hour,Moderate rain for more than 1 hour,Moderate rain for more than 1 hour,Mäßiger Regen für mehr als 1 Stunde,Umiarkowany deszcz przez ponad 1 godzinę,Chuva moderada por mais de 1 hora,Lluvia moderada durante más de 1 hora,Lluvia moderada por más de 1 hora,Hujan sedang selama lebih dari 1 jam,Måttligt regn i mer än 1 timme,,,
heavy_rain_more_than_hour,Heavy rain for more than 1 hour,Heavy rain for more than 1 hour,Starker Regen für mehr als 1 Stunde,Ulewny deszcz przez ponad 1 godzinę,Chuva forte por mais de 1 hora,Lluvia intensa durante más de 1 hora,Lluvia intensa durante más de 1 hora,Hujan deras selama lebih dari 1 jam,Kraftigt regn i mer än 1 timme,,,
extremely_heavy_rain_more_than_hour,Extremely heavy rain for more than 1 hour,Extremely heavy rain for more than 1 hour,Sehr starker Regen für mehr als 1 Stunde,Bardzo ulewny deszcz przez ponad 1 godzinę,Chuva muito forte por mais de 1 hora,Lluvia muy intensa durante más de 1 hora,Lluvia muy intensa durante más de 1 hora,Hujan amat deras selama lebih dari 1 jam,Extremt kraftigt regn i mer än 1 timme,,,
no_location_widget_body,Turn on geolocation to see accurate weather here.,Turn on geolocation to see accurate weather here.,"Schalten Sie Geolokalisierung ein, um hier das genaue Wetter zu sehen.","Włącz geolokalizację, aby zobaczyć tutaj dokładną pogodę.",Ative a geolocalização para ver o clima preciso aqui.,Activa la geolocalización para ver el tiempo exacto en este lugar.,Activar la geolocalización para ver el clima preciso aquí.,Nyalakan geolokasi untuk melihat cuaca akurat di sini.,Slå på geolokalisering för att se exakt väder här.,,,
share_location,Share location,Share location,Standort teilen,Udostępnij lokalizację,Compartilhar local,Compartir ubicación,Compartir ubicación,Bagikan lokasi,Dela plats,,,
upgrade_to_premium,Upgrade to Premium to use this widget,Upgrade to Premium to use this widget,"Wechseln Sie zu Premium, um dieses Widget zu nutzen","Uaktualnij do Premium, aby używać tego widżetu",Atualize para o Premium para usar este widget,Actualiza a Prémium para usar este widget,Actualizar a Premium para usar este widget,Tingkatkan ke Premium untuk menggunakan widget ini,Uppgradera till Premium för att använda denna widget,,,
no_internet_connection,No Internet Сonnection,No Internet Сonnection,Keine Internetverbindung,Brak połączenia z Internetem,Sem conexão com a internet,Sin conexión a Internet,Sin conexión a Internet,Tak Ada Sambungan Internet,Ingen internetanslutning,,,
airplane_mode,Airplane Mode,Airplane Mode,Flugmodus,Tryb samolotowy,Modo avião,Modo avión,Modo avión,Mode Pesawat,Flygplansläge,,,
no_data,No data,No data,Keine Daten,Brak danycha,Sem dados,Sin datos,Sin datos,Tak ada data,Inga data,,,
small_widget_rain_starts_from,Rain starts from %@.,Rain starts from %@.,Regen beginnt in %@.,Deszcz zacznie padać o %@.,A chuva começa em %@.,La lluvia iniciará en %@.,Comienza a llover en %@.,Hujan dimulai dari %@.,Det börjar regna %@., Дождь начнется в %@., La pluie commence à %@.,
small_widget_rain_ends_at,Rain ends at %@.,Rain ends at %@.,Regen endet in %@.,Deszcz przestanie padać o %@.,A chuva termina em %@.,La lluvia terminará en %@.,Termina de llover en %@.,Hujan berakhir pada %@.,Det slutar regna %@.,Дождь закончится в %@.,La pluie cessera à %@.,
,☀️🌂Stay informed with timely and accurate updates by allowing widgets to track your location.,☀️🌂Stay informed with timely and accurate updates by allowing widgets to track your location.,"☀️🌂Bleiben Sie mit rechtzeitigen und genauen Meldungen auf dem Laufenden, indem Sie es den Widgets erlauben, Ihren Standort abzurufen.","☀️🌂Bądź na bieżąco dzięki szybkim i dokładnym aktualizacjom, umożliwiając widżetom śledzenie swojej lokalizacji.",☀️🌂 Mantenha-se informado(a) com atualizações precisas e em tempo hábil ao permitir que os widgets rastreiem sua localização.,☀️🌂Mantente informado con actualizaciones puntuales y precisas al permitir que los widgets rastreen tu ubicación.,☀️🌂Manténgase informado con actualizaciones oportunas y precisas al permitir que los widgets rastreen su ubicación.,☀️🌂Tetap terinfokan dengan pembaruan tepat waktu dan akurat dengan mengizinkan widget untuk melacak lokasi Anda.,☀️🌂Håll dig informerad med snabba och korrekta uppdateringar genom att låta widgetar följa din plats.,,,
widget_your_location,Your location,Your location,Ihr Standort,Twoja lokalizacja,Sua localização,Tu ubicación,Su ubicación,Lokasi Anda,Din plats,,,
loading,Loading…,Loading…,Laden …,Wczytuję…,A carregar…,Cargando…,Cargando…,Memuat…,Laddar ...,,,
notification_light_rain_starts_in_body,☔️ Stay dry! Light rain starts at %@. See what’s coming. ,☔️ Stay dry! Light rain starts at %@. See what’s coming. ,"☔️ Trocken bleiben! Leichter Regen beginnt um %@. Sehen Sie, was bevorsteht.","☔️ Nie zmoknij! Lekki deszcz zaczyna się o %@. Zobacz, co będzie.",☔️ Não se molhe! Chuva fraca começa às %@. Veja o que está por vir.,☔️ ¡Mantente seco! Lluvia ligera comienza en %@. Mira lo que viene.,☔️ ¡Mantente seco! Lluvia ligera que comienza a las %@. Mira lo que viene.,☔️ Jangan sampai basah! Hujan ringan dimulai pada %@. Lihat yang akan datang.,☔️ Håll dig torr! Lätt regn börjar %@. Se vad som är på väg.,,,
notification_light_rain_starts_in_and_ends_in_body,💦☂️Get ready! Light rain starts at %@ and ends at %@.,💦☂️Get ready! Light rain starts at %@ and ends at %@.,💦☂️Bereiten Sie sich vor! Leichter Regen beginnt um %@ und endet um %@.,💦☂️ Przygotuj się! Lekki deszcz zaczyna się o %@ i kończy o %@.,💦☂️Prepare-se! Chuva fraca começa às %@ e termina às %@.,💦☂️¡Prepárate! Lluvia ligera comienza en %@ y termina en %@.,💦☂️¡Prepárate! Las ligera lluvias comienzan a las %@ y terminan a las %@.,💦☂️Bersiaplah! Hujan ringan dimulai pada %@ dan berakhir pada %@.,💦☂️Förbered dig! Lätt regn börjar %@ och slutar %@.,,,
notification_moderate_rain_starts_in_body,☔️ Stay dry! Moderate rain starts at %@. See what’s coming. ,☔️ Stay dry! Moderate rain starts at %@. See what’s coming. ,"☔️ Trocken bleiben! Mäßiger Regen beginnt um %@. Sehen Sie, was bevorsteht.","☔️ Nie zmoknij! Umiarkowany deszcz zaczyna się o %@. Zobacz, co będzie.",☔️ Não se molhe! Chuva moderada começa às %@. Veja o que está por vir.,☔️ ¡Mantente seco! Lluvia moderada comienza en %@. Mira lo que viene.,☔️ ¡Mantente seco! Lluvia moderada que comienza a las %@. Mira lo que viene.,☔️ Jangan sampai basah! Hujan sedang dimulai pada %@. Lihat yang akan datang.,☔️ Håll dig torr! Måttligt regn börjar %@. Se vad som är på väg.,,,
notification_moderate_rain_starts_in_and_ends_in_body,💦☂️Get ready! Moderate rain starts at %@ and ends at %@.,💦☂️Get ready! Moderate rain starts at %@ and ends at %@.,💦☂️Bereiten Sie sich vor! Mäßiger Regen beginnt um %@ und endet um %@.,💦☂️ Przygotuj się! Umiarkowany deszcz zaczyna się o %@ i kończy o %@.,💦☂️Prepare-se! Chuva moderada começa às %@ e termina às %@.,💦☂️¡Prepárte! Lluvia moderada comienza en %@ y termina en %@.,💦☂️¡Prepárate! Lluvia moderada que comienza a las %@ y termina a las %@.,💦☂️Bersiaplah! Hujan sedang dimulai pada %@ dan berakhir pada %@.,💦☂️Förbered dig! Måttligt regn börjar %@ och slutar %@.,,,
notification_heavy_rain_starts_in_body,☔️ Stay dry! Heavy rain starts at %@. See what’s coming. ,☔️ Stay dry! Heavy rain starts at %@. See what’s coming. ,"☔️ Trocken bleiben! Starker Regen beginnt um %@. Sehen Sie, was bevorsteht.","☔️ Nie zmoknij! Ulewny deszcz zaczyna się o %@. Zobacz, co będzie.",☔️ Não se molhe! Chuva forte começa às %@. Veja o que está por vir.,☔️ ¡Mantente seco! Lluvia fuerte comienza en %@. Mira lo que viene.,☔️ ¡Mantente seco! Lluvia fuerte que comienza a las %@. Mira lo que viene.,☔️ Jangan sampai basah! Hujan deras dimulai pada %@. Lihat yang akan datang.,☔️ Håll dig torr! Kraftigt regn börjar %@. Se vad som är på väg.,,,
notification_heavy_rain_starts_in_and_ends_in_body,💦☂️Get ready! Heavy rain starts at %@ and ends at %@.,💦☂️Get ready! Heavy rain starts at %@ and ends at %@.,💦☂️Bereiten Sie sich vor! Starker Regen beginnt um %@ und endet um %@.,💦☂️ Przygotuj się! Ulewny deszcz zaczyna się o %@ i kończy o %@.,💦☂️Prepare-se! Chuva forte começa às %@ e termina às %@.,💦☂️¡Prepárate! Lluvia fuerte comienza en %@ y termina en %@.,💦☂️¡Prepárate! Las fuertes lluvias comienzan a las %@ y terminan a las %@.,💦☂️Bersiaplah! Hujan deras dimulai pada %@ dan berakhir pada %@.,💦☂️Förbered dig! Kraftigt regn börjar %@ och slutar %@.,,,
notification_drizzle_rain_starts_in_body,"🌂 Heads up! A light drizzle is possible in your area at %@. Don’t forget your umbrella, just in case!","🌂 Heads up! A light drizzle is possible in your area at %@. Don’t forget your umbrella, just in case!","🌂 Achtung! Leichter Nieselregen ist in Ihrer Region um %@ möglich. Regenschirm nicht vergessen, nur für den Fall!",🌂 Uwaga! W Twojej okolicy o %@ możliwa lekka mżawka. Nie zapomnij parasola – na wszelki wypadek!,"🌂 Atenção! Uma leve garoa é possível em sua área às %@. Não esqueça seu guarda-chuva, só por precaução!","🌂 ¡Cuidado! Es posible que caiga una ligera llovizna en tu zona a las %@. No olvides el paraguas, ¡por si acaso!","🌂 ¡Cuidado! Es posible una ligera llovizna en tu área a las %@. ¡No olvides el paraguas, por si acaso!",🌂 Waspadalah! Gerimis ringan mungkin turun di area Anda pada %@. Jangan lupa membawa payung untuk berjaga-jaga!,"🌂 Se upp! Lätt duggregn kan förekomma i ditt område %@. Glöm inte paraplyet, för säkerhets skull!",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
radar_legend_verbose_rain_units,Intensity,Intensity,Intensität,Intensywność,Intensidade,Intensidad,Intensidad,Intensitas,Intensitet,,,
radar_legend_drizzle,Drizzle,Drizzle,Nieselregen,Mżawka,Garoa,Llovizna,Llovizna,Gerimis,Duggregn,,,
radar_legend_light_rain,Light rain,Light rain,Leichter Regen,Lekki deszcz,Chuva leve,Lluvia leve,Lluvia ligera,Hujan ringan,Lätt regn,,,
radar_legend_moderate_rain,Moderate rain,Moderate rain,Mäßiger Regen,Umiarkowane opady deszczu,Chuva moderada,Lluvia moderada,Lluvia moderada,Hujan sedang,Måttligt regn,,,
radar_legend_heavy_rain,Heavy rain,Heavy rain,Starker Regen,Intensywne opady deszczu,Chuva pesada,Lluvia fuerte,Lluvia fuerte,Hujan deras,Kraftigt regn,,,
radar_legend_intense_rain,Intense rain,Intense rain,Intensiver Regen,Intensywny deszcz,Chuva intensa,Lluvia intensa,Lluvia intensa,Hujan intens,Intensivt regn,,,
radar_legend_extreme_rain,Extreme rain,Extreme rain,Extremer Regen,Ekstremalny deszcz,Chuva extrema,Lluvia extrema,Lluvia extrema,Hujan ekstrem,Extremt regn,,,
radar_legend_mmh,%@ mm/h,%@ mm/h,%@ mm/Std.,%@ mm/h,%@ mm/h,%@ mm/h,%@mm/h,%@ mm/j,%@ mm/h,,,
radar_legend_inches,%@ inch/h,%@ inch/h,%@ inch/Std.,%@ in/h,%@ polegada/h,%@ in/h,%@ pulgadas/h,%@ in/j,%@ tum/h,,,
radar_legend_precise_title_mmh,mm/h,mm/h,mm/Std.,mm/h,mm/h,mm/h,mm/hora,mm/j,mm/h,,,
radar_legend_precise_title_inches,inch/h,inch/h,inch/Std.,in/h,polegada/h,in/h,pulgada/hora,in/j,tum/h,,,
